S.No,University Name,Country,Latitude,Longitude,Logo URL,Inbound Students,Outbound Students,Inbound Visiting Faculty,Outbound Visiting Faculty
1,George Washington University,USA,38.8997,-77.0486,https://www.kisacoresearch.com/sites/default/files/logos/george_washington_university.png,5,12,1,2
2,Butler University,USA,39.8398,-86.1719,https://d2jyir0m79gs60.cloudfront.net/college/logos/Butler_University.jpg,2,8,0,1
3,Worcester Polytechnic Institute,USA,42.2742,-71.8080,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeURoXyUbBUbqslQJ6CRn1evqsyycq0DV0qHZkdTsbL7KYFQhlE7pdlkCT&s=10,8,15,2,3
4,University of Salford,UK,53.4866,-2.2742,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1abd6FVOWxqXQyF6CTWYIchgk-P8Ky6c9WfzK3vw_Ww&s=10,10,20,1,1
5,University of the West of England,UK,51.5002,-2.5484,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQI6iPTFjchEFMYC7Gop9cn7z7xYJpb9dXrU6W3Kxazy2V-nz9ZH2LhcNs&s=10,4,6,0,0
6,University of Leeds,UK,53.8067,-1.5550,https://cdn.prod.website-files.com/67b861ab00707b40050b601f/69417bbf1473d7d79855a398_622-6228321_report-the-art-of-writing-for-animation-and.png,15,25,3,4
7,Technion - Israel Institute of Technology,Israel,32.7768,35.0231,https://upload.wikimedia.org/wikipedia/en/4/4b/TechnionLogo.svg,8,5,2,2
8,Ben-Gurion University,Israel,31.2618,34.8016,https://www.bgu.ac.il/media/j3rerptx/en-logo-top-white.jpg,6,4,1,1
9,Hebrew University of Jerusalem,Israel,31.7744,35.2014,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsdwK5ceaoSJgdy6rJKaZYq7nRiCyfN11ltR_xpv-7FyFO82ioLy4Y-uY&s=10,5,7,1,2
10,Tel Aviv University,Israel,32.1133,34.8044,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUGgLyqA3J53gKBtmpMB8hyI1Cuysx13T317q9SrWTxZlHTZDipdKC_IU&s=10,10,12,2,2
11,Vilnius University,Lithuania,54.6826,25.2872,https://wymianymlodziezy.frse.org.pl/wp-content/uploads/2023/01/Vilnius_University_new_logo.jpg,3,5,0,0
12,University of Alicante,Spain,38.3846,-0.5132,https://eulaliaproject.eu/wp-content/uploads/2020/06/LOGO_UA.jpg,12,18,1,2
13,National Dong Hwa University,Taiwan,23.8966,121.5413,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnCCP_wGkMDkhBeASaYCx8LGnXmZnOevj9ZTL2BiEr8w&s=10,15,10,2,1
14,Australian Catholic University,Australia,-33.8378,151.2052,https://courseseeker.edu.au/assets/images/institutions/3006.png,8,12,1,0
